Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,KECAMATAN ARGAPURA - 7.01.0.00.0.00.19.0000,1945253,32496888;32496917;32496901,2022,Pencatatan,APBD,,Pengadaan Langsung,Pengadaan Barang,"Makan dan Minum Peserta,Makan dan Minum Rapat,Barang Cetakan",PAKET SELESAI,8000000,0
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,1354621,35440151,2022,E-Katalog 5.0,APBD,MOFTECH MEDICAL SYSTEM,E-Purchasing,Pengadaan Barang,"Winter Ovum Forceps 28 cm Curved, FIG.2",PROSES KONTRAK PPK,1145850,1145850
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,826469,34907363,2022,E-Katalog 5.0,APBD,SINAR PANCA MEDIKA,E-Purchasing,Pengadaan Barang,SPMed Sterile Latex Surgical Gloves Pre-Powdered 7,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,84620000,84620000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1821073,34612679,2022,E-Katalog 5.0,APBD,PT. Sampharindo Perdana,E-Purchasing,Pengadaan Barang,Cetirizine hydrochloride(HCl)/ Cetirizine/ Setirizin tablet/kapsul/kaplet 10 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,490000,490000
KAB. MAJALENGKA,DINAS PENDIDIKAN - 1.01.0.00.0.00.01.0000,1399253,34094240,2022,Pencatatan,APBD,CV RAMA PUTERA JAYA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Bangunan Gedung Tempat Pendidikan,PAKET SELESAI,199847000,199847000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1798253,37659829,2022,Pencatatan,APBDP,CV. GIRI LUSI,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten ( Pemeliharaan Jalan Cicalung - SP. Sindang (APBD P)),PAKET SELESAI,199268000,199268000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,2179954,34612806,2022,E-Katalog 5.0,APBD,PT. ESSITY HYGIENE AND HEALTH INDONESIA,E-Purchasing,Pengadaan Barang,LEUKOPLAST 2.5cm x 4.5m Hospital,PROSES KONTRAK PPK,1633800,0
KAB. MAJALENGKA,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,821734,35219456,2022,E-Katalog 5.0,APBD,PT. RAMA EMERALD MULTI SUKSES,E-Purchasing,Pengadaan Barang,HYOSCINE BUTYLBROMIDE,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,26250000,26250000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1174104,34612679,2022,E-Katalog 5.0,APBD,PT. Mersifarma Tirmaku Mercusana,E-Purchasing,Pengadaan Barang,Maprotilin/Maprotiline HCl tablet salut selaput/kaplet salut selaput 50 mg (G),PROSES KONTRAK PPK,3750000,3750000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1779514,34612679,2022,E-Katalog 5.0,APBD,PT.Phapros Tbk,E-Purchasing,Pengadaan Barang,Methylprednisolone Sodium Succinate/ Metilprednisolon/ Methylprednisolone inj 125 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,519750,519750
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,2127830,34612679,2022,E-Katalog 5.0,APBD,PT. Hexpharm Jaya Laboratories,E-Purchasing,Pengadaan Barang,Irbesartan tablet/kapsul/kaplet 150 mg,PROSES KONTRAK PPK,839520,839520
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,1794253,37659433,2022,Pencatatan,APBDP,CV. ARYA,Pengadaan Langsung,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Pemeliharaan Jalan Bahagiia (Andir) (APBD P)),PAKET SELESAI,199240000,199240000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,5361253,36224465,2022,Tender,APBD,niwaya construction,Tender,Pekerjaan Konstruksi,Belanja Modal Jalan Kabupaten (Rehabilitasi Jalan Jatiwangi - Wanasalam ( DAU )),SELESAI,3628755100,3628755100
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,1180540,34612679,2022,E-Katalog 5.0,APBD,PT.Phapros Tbk,E-Purchasing,Pengadaan Barang,Aminofilin/Aminophylline inj 24 mg/ml,PROSES KONTRAK PPK,811200,811200
