Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MAJALENGKA,BADAN KESATUAN BANGSA DAN POLITIK - 8.01.2.19.0.00.01.0000,11641402,54762317,2025,E-Katalog 5.0,APBD,CV. ANUGRAH PRATAMA SUNARYA,E-Purchasing,Pengadaan Barang,ISI HEKTER KECIL,PROSES KONTRAK PPK,240000,240000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH MAJALENGKA - 1.02.0.00.0.00.02.0000,11404625,54602436,2025,E-Katalog 5.0,BLUD,P.T. Dexa Medica,E-Purchasing,Pengadaan Barang,Betahistin tab 6 mg,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,378000,378000
KAB. MAJALENGKA,RUMAH SAKIT UMUM DAERAH TALAGA - 1.02.0.00.0.00.01.0034,11944716,59702503,2025,E-Katalog 5.0,APBD,CV. CIPTA KANAKA ASRI,E-Purchasing,Pengadaan Barang,Pas. Beton lantai kerja - t. 5 cm (Pondasi setempat),MELAKUKAN PENGIRIMAN DAN PENERIMAAN,5117000,5117000
KAB. MAJALENGKA,DINAS PEKERJAAN UMUM DAN TATA RUANG - 1.03.0.00.0.00.01.0000,11910211,58782546,2025,E-Katalog 5.0,APBD,CV MEGA HEKSA DJAYA,E-Purchasing,Pengadaan Barang,"pekerjaan beton struktur, fc 20 Mpa",PROSES KONTRAK PPK,334800000,334800000
KAB. MAJALENGKA,DINAS SOSIAL - 1.06.0.00.0.00.01.0000,01KBGVXMAPA90Y68SD9NS0VXX4,60171215,2025,E-Katalog 6.0,APBD,DZILA RICH SOLUTION,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,ON PROCESS,1125000,1125000
KAB. MAJALENGKA,PUSKESMAS SUMBERJAYA - 1.02.0.00.0.00.01.0005,11698459,55785395,2025,E-Katalog 5.0,BLUD,CV. ALHAMDULILLAH,E-Purchasing,Pengadaan Barang,Penghapus Pensil Hitam,PAKET SELESAI,96000,96000
KAB. MAJALENGKA,PUSKESMAS SUMBERJAYA - 1.02.0.00.0.00.01.0005,11789929,55785395,2025,E-Katalog 5.0,BLUD,PT.TOP POINT MEDICAL,E-Purchasing,Pengadaan Barang,TP Auto Destruct Syringe 0.5 ML with Needle,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,5955000,5955000
KAB. MAJALENGKA,PUSKESMAS JATITUJUH - 1.02.0.00.0.00.01.0017,01K9PF9MM3ZPCQ6Z3811ZAQZ7Z,61399814,2025,E-Katalog 6.0,APBD,KENARA PELITA RAYA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,PAYMENT OUTSIDE SYSTEM,4928485,4928485
KAB. MAJALENGKA,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN - 1.04.2.10.1.03.01.0000",11864063,58662940,2025,E-Katalog 5.0,APBD,CV. RAFANDRA PUTRA PERKASA,E-Purchasing,Pengadaan Barang,Pekerjaan Bekisting Kolom,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,6838568.07,6838568.07
KAB. MAJALENGKA,SEKRETARIAT DAERAH - 4.01.0.00.0.00.01.0000,01JTM7BBV8SH5VD78CQ3W52WXG,59056171,2025,E-Katalog 6.0,APBD,IR-IR SON,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,ON PROCESS,21852000,21852000
